avg(x),avg(y)
4.5196E+02,1.9401E-22
4.5235E+02,1.9490E-22
4.6279E+02,1.9626E-22
4.7392E+02,1.9660E-22
4.8317E+02,1.9829E-22
4.8536E+02,1.9848E-22
4.9261E+02,1.9993E-22
4.9558E+02,2.0067E-22
4.9712E+02,2.0148E-22
5.0027E+02,2.0152E-22
5.0369E+02,2.0230E-22
5.0579E+02,2.0301E-22
5.0920E+02,2.0310E-22
5.1183E+02,2.0377E-22
5.1273E+02,2.0442E-22
5.1506E+02,2.0465E-22
5.1624E+02,2.0536E-22
5.2163E+02,2.0619E-22
5.2370E+02,2.0629E-22
5.2673E+02,2.0759E-22
5.2771E+02,2.0763E-22
5.3589E+02,2.0886E-22
5.3948E+02,2.0892E-22
5.5233E+02,2.1008E-22
5.6554E+02,2.1055E-22
5.7911E+02,2.1120E-22
5.9306E+02,2.1230E-22
6.0739E+02,2.1250E-22
6.2212E+02,2.1334E-22
6.3726E+02,2.1433E-22
6.5282E+02,2.1440E-22
6.6882E+02,2.1513E-22
6.7618E+02,2.1585E-22
6.8526E+02,2.1633E-22
6.9084E+02,2.1636E-22
7.0217E+02,2.1683E-22
7.0586E+02,2.1726E-22
7.1955E+02,2.1763E-22
7.2126E+02,2.1797E-22
7.3466E+02,2.1831E-22
7.3704E+02,2.1853E-22
7.3952E+02,2.1865E-22
7.4725E+02,2.1898E-22
7.5322E+02,2.1931E-22
7.5426E+02,2.1961E-22
7.6005E+02,2.1980E-22
7.7307E+02,2.2002E-22
7.8633E+02,2.2024E-22
7.9981E+02,2.2045E-22
8.1352E+02,2.2068E-22
8.2748E+02,2.2074E-22
8.4168E+02,2.2089E-22
8.5613E+02,2.2093E-22
8.7082E+02,2.2118E-22
8.8578E+02,2.2176E-22
9.0099E+02,2.2229E-22
9.1647E+02,2.2293E-22
9.3222E+02,2.2328E-22
9.4824E+02,2.2334E-22
9.6455E+02,2.2342E-22
9.6836E+02,2.2394E-22
9.7668E+02,2.2401E-22
9.7797E+02,2.2404E-22
9.9351E+02,2.2414E-22
