elastic(x),1s5(x),1s4(x),1s3(x),1s2(x),2p10(x),2p9(x),2p8(x),2p7(x),2p6(x),2p5(x),2p4(x),2p3(x),2p2(x),2p1(x),3d6(x),3d5(x),3d3(x),3d4!(x),3d4(x),3d1!!(x),2s5(x),2s4(x),3d1!(x),3d2(x),3s1!!!!(x),3s1!!(x),3s1!!!(x),2s3(x),2s2(x),3s1!(x),4d5(x),3s4(x),4d2(x),4s1!(x),3s2(x),5d5(x),4s4(x),5d2(x),6d5(x),5s1!(x),4s2(x),5s4(x),6d2(x),high(x),ion(x),avg(x)
3.8835E-01,1.2010E+01,1.2086E+01,1.2185E+01,1.2290E+01,1.3369E+01,1.3538E+01,1.3557E+01,1.3615E+01,1.3634E+01,1.3735E+01,1.3745E+01,1.3764E+01,1.3790E+01,1.3942E+01,1.4307E+01,1.4326E+01,1.4365E+01,1.4441E+01,1.4475E+01,1.4525E+01,1.4530E+01,1.4552E+01,1.4561E+01,1.4615E+01,1.4676E+01,1.4696E+01,1.4698E+01,1.4703E+01,1.4717E+01,1.4766E+01,1.5173E+01,1.5310E+01,1.5321E+01,1.5466E+01,1.5484E+01,1.5580E+01,1.5648E+01,1.5652E+01,1.5770E+01,1.5813E+01,1.5822E+01,1.5828E+01,1.5836E+01,1.6122E+01,1.6222E+01,1.4478E+01
4.1254E-01,1.2036E+01,1.2112E+01,1.2211E+01,1.2316E+01,1.3395E+01,1.3564E+01,1.3583E+01,1.3641E+01,1.3660E+01,1.3761E+01,1.3771E+01,1.3790E+01,1.3816E+01,1.3968E+01,1.4333E+01,1.4352E+01,1.4391E+01,1.4467E+01,1.4501E+01,1.4551E+01,1.4556E+01,1.4578E+01,1.4587E+01,1.4641E+01,1.4702E+01,1.4722E+01,1.4724E+01,1.4729E+01,1.4743E+01,1.4792E+01,1.5199E+01,1.5336E+01,1.5347E+01,1.5492E+01,1.5510E+01,1.5606E+01,1.5674E+01,1.5678E+01,1.5796E+01,1.5839E+01,1.5848E+01,1.5854E+01,1.5862E+01,1.6148E+01,1.6247E+01,1.4504E+01
4.3714E-01,1.2062E+01,1.2138E+01,1.2237E+01,1.2342E+01,1.3421E+01,1.3590E+01,1.3609E+01,1.3667E+01,1.3686E+01,1.3787E+01,1.3797E+01,1.3816E+01,1.3842E+01,1.3994E+01,1.4359E+01,1.4378E+01,1.4417E+01,1.4493E+01,1.4527E+01,1.4577E+01,1.4582E+01,1.4604E+01,1.4613E+01,1.4667E+01,1.4728E+01,1.4748E+01,1.4750E+01,1.4755E+01,1.4769E+01,1.4818E+01,1.5225E+01,1.5362E+01,1.5373E+01,1.5518E+01,1.5536E+01,1.5632E+01,1.5700E+01,1.5704E+01,1.5822E+01,1.5865E+01,1.5874E+01,1.5880E+01,1.5888E+01,1.6174E+01,1.6273E+01,1.4530E+01
4.6218E-01,1.2088E+01,1.2164E+01,1.2263E+01,1.2368E+01,1.3447E+01,1.3616E+01,1.3635E+01,1.3693E+01,1.3712E+01,1.3813E+01,1.3823E+01,1.3842E+01,1.3868E+01,1.4020E+01,1.4385E+01,1.4404E+01,1.4443E+01,1.4519E+01,1.4553E+01,1.4603E+01,1.4608E+01,1.4630E+01,1.4639E+01,1.4693E+01,1.4754E+01,1.4774E+01,1.4776E+01,1.4781E+01,1.4795E+01,1.4844E+01,1.5251E+01,1.5388E+01,1.5399E+01,1.5544E+01,1.5562E+01,1.5658E+01,1.5726E+01,1.5730E+01,1.5848E+01,1.5891E+01,1.5900E+01,1.5906E+01,1.5914E+01,1.6200E+01,1.6300E+01,1.4556E+01
4.8765E-01,1.2115E+01,1.2191E+01,1.2290E+01,1.2395E+01,1.3474E+01,1.3643E+01,1.3662E+01,1.3720E+01,1.3739E+01,1.3840E+01,1.3850E+01,1.3869E+01,1.3895E+01,1.4047E+01,1.4412E+01,1.4431E+01,1.4470E+01,1.4546E+01,1.4580E+01,1.4630E+01,1.4635E+01,1.4657E+01,1.4666E+01,1.4720E+01,1.4781E+01,1.4801E+01,1.4803E+01,1.4808E+01,1.4822E+01,1.4871E+01,1.5278E+01,1.5415E+01,1.5426E+01,1.5571E+01,1.5589E+01,1.5685E+01,1.5753E+01,1.5757E+01,1.5875E+01,1.5918E+01,1.5927E+01,1.5933E+01,1.5941E+01,1.6227E+01,1.6326E+01,1.4583E+01
5.1356E-01,1.2142E+01,1.2218E+01,1.2317E+01,1.2422E+01,1.3501E+01,1.3670E+01,1.3689E+01,1.3747E+01,1.3766E+01,1.3867E+01,1.3877E+01,1.3896E+01,1.3922E+01,1.4074E+01,1.4439E+01,1.4458E+01,1.4497E+01,1.4573E+01,1.4607E+01,1.4657E+01,1.4662E+01,1.4684E+01,1.4693E+01,1.4747E+01,1.4808E+01,1.4828E+01,1.4830E+01,1.4835E+01,1.4849E+01,1.4898E+01,1.5305E+01,1.5442E+01,1.5453E+01,1.5598E+01,1.5616E+01,1.5712E+01,1.5780E+01,1.5784E+01,1.5902E+01,1.5945E+01,1.5954E+01,1.5960E+01,1.5968E+01,1.6254E+01,1.6354E+01,1.4610E+01
5.3993E-01,1.2170E+01,1.2246E+01,1.2345E+01,1.2450E+01,1.3529E+01,1.3698E+01,1.3717E+01,1.3775E+01,1.3794E+01,1.3895E+01,1.3905E+01,1.3924E+01,1.3950E+01,1.4102E+01,1.4467E+01,1.4486E+01,1.4525E+01,1.4601E+01,1.4635E+01,1.4685E+01,1.4690E+01,1.4712E+01,1.4721E+01,1.4775E+01,1.4836E+01,1.4856E+01,1.4858E+01,1.4863E+01,1.4877E+01,1.4926E+01,1.5333E+01,1.5470E+01,1.5481E+01,1.5626E+01,1.5644E+01,1.5740E+01,1.5808E+01,1.5812E+01,1.5930E+01,1.5973E+01,1.5982E+01,1.5988E+01,1.5996E+01,1.6282E+01,1.6381E+01,1.4638E+01
5.6675E-01,1.2198E+01,1.2274E+01,1.2373E+01,1.2478E+01,1.3557E+01,1.3726E+01,1.3745E+01,1.3803E+01,1.3822E+01,1.3923E+01,1.3933E+01,1.3952E+01,1.3978E+01,1.4130E+01,1.4495E+01,1.4514E+01,1.4553E+01,1.4629E+01,1.4663E+01,1.4713E+01,1.4718E+01,1.4740E+01,1.4749E+01,1.4803E+01,1.4864E+01,1.4884E+01,1.4886E+01,1.4891E+01,1.4905E+01,1.4954E+01,1.5361E+01,1.5498E+01,1.5509E+01,1.5654E+01,1.5672E+01,1.5768E+01,1.5836E+01,1.5840E+01,1.5958E+01,1.6001E+01,1.6010E+01,1.6016E+01,1.6024E+01,1.6310E+01,1.6410E+01,1.4666E+01
5.9404E-01,1.2227E+01,1.2303E+01,1.2402E+01,1.2507E+01,1.3586E+01,1.3755E+01,1.3774E+01,1.3832E+01,1.3851E+01,1.3952E+01,1.3962E+01,1.3981E+01,1.4007E+01,1.4159E+01,1.4524E+01,1.4543E+01,1.4582E+01,1.4658E+01,1.4692E+01,1.4742E+01,1.4747E+01,1.4769E+01,1.4778E+01,1.4832E+01,1.4893E+01,1.4913E+01,1.4915E+01,1.4920E+01,1.4934E+01,1.4983E+01,1.5390E+01,1.5527E+01,1.5538E+01,1.5683E+01,1.5701E+01,1.5797E+01,1.5865E+01,1.5869E+01,1.5987E+01,1.6030E+01,1.6039E+01,1.6045E+01,1.6053E+01,1.6339E+01,1.6438E+01,1.4695E+01
6.2181E-01,1.2256E+01,1.2332E+01,1.2431E+01,1.2536E+01,1.3615E+01,1.3784E+01,1.3803E+01,1.3861E+01,1.3880E+01,1.3981E+01,1.3991E+01,1.4010E+01,1.4036E+01,1.4188E+01,1.4553E+01,1.4572E+01,1.4611E+01,1.4687E+01,1.4721E+01,1.4771E+01,1.4776E+01,1.4798E+01,1.4807E+01,1.4861E+01,1.4922E+01,1.4942E+01,1.4944E+01,1.4949E+01,1.4963E+01,1.5012E+01,1.5419E+01,1.5556E+01,1.5567E+01,1.5712E+01,1.5730E+01,1.5826E+01,1.5894E+01,1.5898E+01,1.6016E+01,1.6059E+01,1.6068E+01,1.6074E+01,1.6082E+01,1.6368E+01,1.6468E+01,1.4724E+01
