p0,% r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
1.3332,34.09090909,107.3443994,5.43E+14,1.37E+15,2.19E+15,2.98E+15,3.75E+15
1.3332,34.09090909,107.7268331,4.06E+14,1.01E+15,1.59E+15,2.16E+15,2.71E+15
1.3332,34.09090909,108,3.18E+14,7.71E+14,1.21E+15,1.63E+15,2.05E+15
1.3332,34.11349275,31.44199045,1.07E+16,2.72E+16,4.34E+16,5.9E+16,7.42E+16
1.3332,34.3514048,4.248538037,1.47E+15,3.89E+15,6.33E+15,8.71E+15,1.11E+16
1.3332,34.48353824,101.8459058,2.72E+15,6.84E+15,1.09E+16,1.48E+16,1.87E+16
1.3332,36.68507861,10.17813998,3.7E+15,9.47E+15,1.52E+16,2.08E+16,2.63E+16
1.3332,37.14736496,83.86889453,9.23E+15,2.32E+16,3.69E+16,5.02E+16,6.32E+16
1.3332,37.71785302,97.49946171,4.41E+15,1.1E+16,1.76E+16,2.4E+16,3.02E+16
1.3332,37.97510727,69.45080124,1.28E+16,3.21E+16,5.13E+16,6.97E+16,8.78E+16
1.3332,38.24090168,37.63505961,1.21E+16,3.06E+16,4.89E+16,6.65E+16,8.37E+16
1.3332,38.29623396,24.7890471,8.73E+15,2.21E+16,3.53E+16,4.82E+16,6.07E+16
1.3332,38.68940628,63.82718402,1.35E+16,3.41E+16,5.45E+16,7.41E+16,9.33E+16
1.3332,39.00510948,57.27346638,1.4E+16,3.53E+16,5.63E+16,7.66E+16,9.63E+16
1.3332,39.18342234,50.73129341,1.39E+16,3.5E+16,5.59E+16,7.61E+16,9.57E+16
1.3332,39.76355612,43.81558387,1.32E+16,3.33E+16,5.31E+16,7.23E+16,9.1E+16
1.3332,39.95627577,103.8107614,1.92E+15,4.83E+15,7.72E+15,1.05E+16,1.33E+16
1.3332,39.99264921,6.463278746,2.28E+15,5.92E+15,9.57E+15,1.31E+16,1.66E+16
1.3332,40.07142857,0,7.25E+13,1.67E+14,2.63E+14,3.61E+14,4.61E+14
1.3332,40.07142857,0.274489875,1.13E+14,2.9E+14,4.82E+14,6.8E+14,8.83E+14
1.3332,40.07142857,0.658775699,1.92E+14,5.37E+14,9.19E+14,1.32E+15,1.72E+15
1.3332,40.07142857,1.196775854,3.38E+14,9.64E+14,1.64E+15,2.33E+15,3.02E+15
1.3332,40.07142857,1.94997607,5.9E+14,1.65E+15,2.76E+15,3.86E+15,4.96E+15
1.3332,40.07142857,3.004456373,9.74E+14,2.64E+15,4.35E+15,6.03E+15,7.69E+15
1.3332,40.08724163,15.29404318,5.54E+15,1.41E+16,2.26E+16,3.09E+16,3.89E+16
1.3332,40.73566651,92.28080699,6.33E+15,1.59E+16,2.53E+16,3.44E+16,4.34E+16
1.3332,40.90909091,104.9806709,1.45E+15,3.67E+15,5.87E+15,8E+15,1.01E+16
1.3332,40.90909091,106.0403711,1.03E+15,2.62E+15,4.2E+15,5.73E+15,7.23E+15
1.3332,40.90909091,106.7972998,7.39E+14,1.88E+15,3.01E+15,4.11E+15,5.18E+15
1.3332,40.90909091,107.3379632,5.39E+14,1.36E+15,2.18E+15,2.97E+15,3.74E+15
1.3332,40.90909091,107.7241513,4.03E+14,9.99E+14,1.58E+15,2.15E+15,2.7E+15
1.3332,40.90909091,108,3.16E+14,7.64E+14,1.2E+15,1.62E+15,2.04E+15
1.3332,40.9812225,4.370771601,1.49E+15,3.94E+15,6.42E+15,8.85E+15,1.12E+16
1.3332,41.19193073,74.13270542,1.18E+16,2.96E+16,4.73E+16,6.44E+16,8.11E+16
1.3332,41.83083541,101.3366733,2.89E+15,7.25E+15,1.16E+16,1.58E+16,1.99E+16
1.3332,41.95397045,33.20243825,1.1E+16,2.79E+16,4.46E+16,6.07E+16,7.65E+16
1.3332,43.52653501,83.45675471,9.24E+15,2.32E+16,3.7E+16,5.04E+16,6.35E+16
1.3332,43.56078369,9.685289855,3.47E+15,8.88E+15,1.43E+16,1.96E+16,2.48E+16
1.3332,43.68294116,38.05219512,1.21E+16,3.05E+16,4.87E+16,6.64E+16,8.37E+16
1.3332,44.3118669,68.03966395,1.29E+16,3.24E+16,5.17E+16,7.05E+16,8.88E+16
1.3332,44.52362093,54.1072889,1.38E+16,3.49E+16,5.57E+16,7.6E+16,9.57E+16
1.3332,44.61049435,97.20784709,4.46E+15,1.12E+16,1.78E+16,2.43E+16,3.07E+16
1.3332,44.78231348,24.86867015,8.64E+15,2.19E+16,3.5E+16,4.78E+16,6.03E+16
