r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
4.568829957,5.992545412,2.16E+15,5.65E+15,9.11E+15,1.25E+16,1.57E+16
4.568829957,5.992545412,8.57E+15,1.76E+16,2.63E+16,3.48E+16,4.32E+16
4.568829957,5.992545412,1.55E+16,3.06E+16,4.53E+16,5.98E+16,7.42E+16
4.568829957,5.992545412,2.27E+16,4.44E+16,6.57E+16,8.68E+16,1.08E+17
4.568829957,5.992545412,3.01E+16,5.88E+16,8.70E+16,1.15E+17,1.43E+17
5.189005082,9.720912242,3.62E+15,9.29E+15,1.49E+16,2.03E+16,2.55E+16
5.189005082,9.720912242,1.42E+16,2.89E+16,4.29E+16,5.66E+16,7.02E+16
5.189005082,9.720912242,2.57E+16,5.01E+16,7.40E+16,9.75E+16,1.21E+17
5.189005082,9.720912242,3.75E+16,7.28E+16,1.07E+17,1.41E+17,1.75E+17
5.189005082,9.720912242,4.96E+16,9.62E+16,1.42E+17,1.87E+17,2.32E+17
5.277939828,104.2292593,1.77E+15,4.50E+15,7.15E+15,9.70E+15,1.22E+16
5.277939828,104.2292593,6.21E+15,1.26E+16,1.87E+16,2.47E+16,3.06E+16
5.277939828,104.2292593,1.08E+16,2.12E+16,3.14E+16,4.14E+16,5.13E+16
5.277939828,104.2292593,1.56E+16,3.04E+16,4.50E+16,5.94E+16,7.37E+16
5.277939828,104.2292593,2.05E+16,4.00E+16,5.91E+16,7.81E+16,9.69E+16
5.365570751,16.15244298,6.02E+15,1.53E+16,2.45E+16,3.32E+16,4.18E+16
5.365570751,16.15244298,2.36E+16,4.77E+16,7.06E+16,9.30E+16,1.15E+17
5.365570751,16.15244298,4.26E+16,8.28E+16,1.22E+17,1.60E+17,1.98E+17
5.365570751,16.15244298,6.22E+16,1.20E+17,1.77E+17,2.32E+17,2.88E+17
5.365570751,16.15244298,8.22E+16,1.59E+17,2.33E+17,3.08E+17,3.81E+17
5.420442549,23.84512276,8.66E+15,2.20E+16,3.50E+16,4.75E+16,5.97E+16
5.420442549,23.84512276,3.41E+16,6.85E+16,1.01E+17,1.33E+17,1.65E+17
5.420442549,23.84512276,6.14E+16,1.19E+17,1.74E+17,2.29E+17,2.83E+17
5.420442549,23.84512276,8.96E+16,1.72E+17,2.53E+17,3.32E+17,4.10E+17
5.420442549,23.84512276,1.18E+17,2.27E+17,3.34E+17,4.39E+17,5.43E+17
5.468068794,33.91598093,1.16E+16,2.95E+16,4.68E+16,6.35E+16,7.97E+16
5.468068794,33.91598093,4.59E+16,9.20E+16,1.35E+17,1.78E+17,2.20E+17
